标题,价格(元/月),面积,片区,lng,lat,nearest_station_id,distance_km
整租·馨宁公寓 1室1厅 南,4000,42.29㎡,徐汇-华泾-馨宁公寓,121.447726,31.128049,15号线,1.0306
整租·徐家汇花园 2室1厅 南,11960,111.82㎡,徐汇-徐家汇-徐家汇花园,121.447207,31.193531,9号线,0.7145
整租·尚光徐汇中心 2室1厅 南,10000,54.90㎡,徐汇-徐家汇-尚光徐汇中心,121.430238,31.186596,4号线,0.2904
整租·金巢铂瑞阁 1室1厅 西,8830,60.74㎡,徐汇-斜土路-金巢铂瑞阁,121.464861,31.200468,9号线,0.4742
整租·新汇公寓 1室1厅 南,8800,75.17㎡,徐汇-徐家汇-新汇公寓,121.446141,31.195053,9号线,0.6218
整租·东航公寓 2室1厅 南,8560,91.91㎡,徐汇-徐家汇-东航公寓,121.421397,31.190298,4号线,0.6803
整租·科嘉小区 2室1厅 南,7800,59.59㎡,徐汇-徐家汇-科嘉小区,121.442135,31.19429,11号线,0.5444
整租·轻工大楼 1室1厅 南,6030,48.90㎡,徐汇-斜土路-轻工大楼,121.459143,31.196867,12号线,0.5023
整租·徐汇苑 2室2厅 南/北,20500,134.56㎡,徐汇-龙华-徐汇苑,121.44403,31.177843,11号线,0.2861
整租·龙州小区 2室1厅 东,6060,68.96㎡,徐汇-华东理工-龙州小区,121.426547,31.129544,15号线,0.9106
整租·岳阳路200弄 1室1厅 南,7500,53.19㎡,徐汇-衡山路-岳阳路200弄,121.451693,31.204431,1号线,0.5022
整租·振兴小区(徐汇) 1室1厅 南,5630,41.50㎡,徐汇-徐家汇-振兴小区(徐汇),121.452172,31.193677,4号线,0.4097
整租·长桥三村 1室1厅 南,4100,43.67㎡,徐汇-长桥-长桥三村,121.442318,31.134563,15号线,0.705
整租·漕溪一村 1室1厅 南,5090,32.95㎡,徐汇-万体馆-漕溪一村,121.436611,31.172787,3号线,0.4712
整租·华泾绿苑 3室2厅 南,13000,126.81㎡,徐汇-华泾-华泾绿苑,121.457976,31.113578,市域机场线,1.3685
整租·谨斜小区 1室1厅 南,4303,28.98㎡,徐汇-徐家汇-谨斜小区,121.448534,31.193321,4号线,0.6668
整租·滨江小区 1室1厅 南,5300,60.52㎡,徐汇-徐汇滨江-滨江小区,121.457044,31.152442,11号线,0.8457
整租·申峰大厦 1室1厅 南,6730,55.79㎡,徐汇-徐家汇-申峰大厦,121.441847,31.187118,4号线,0.232
整租·尚海湾豪庭一期 1室1厅 南,11000,64.26㎡,徐汇-徐汇滨江-尚海湾豪庭一期,121.460283,31.179931,12号线,0.5807
整租·长乐路447号 2室2厅 南,14000,71.73㎡,徐汇-衡山路-长乐路447号,121.454007,31.218278,12号线,0.5691
整租·华建一街坊 3室1厅 南,5500,79.65㎡,徐汇-华泾-华建一街坊,121.439596,31.120553,15号线,0.4557
整租·中恒苑 1室1厅 南,4390,46.50㎡,徐汇-植物园-中恒苑,121.447925,31.139603,15号线,1.4602
整租·光大会展中心 5室2厅 南,26588,234.06㎡,徐汇-康健-光大会展中心,121.428035,31.166528,12号线,0.5269
整租·光华绿苑 4室0厅 南,7500,113.50㎡,徐汇-华泾-光华绿苑,121.452875,31.11116,市域机场线,0.8304
整租·建国西路695弄 2室1厅 南,9800,48.55㎡,徐汇-衡山路-建国西路695弄,121.443744,31.200001,1号线,0.5631
整租·宛南六村 2室1厅 南,6690,45.75㎡,徐汇-龙华-宛南六村,121.445104,31.179525,11号线,0.3536
整租·漓江山水花园 8室3厅 复式 南,34000,261.30㎡,徐汇-华泾-漓江山水花园,121.446149,31.116152,15号线,0.6479
整租·吴东小区 1室1厅 南,6290,48.00㎡,徐汇-徐家汇-吴东小区,121.422474,31.191462,4号线,0.6904
整租·凯托大厦 1室1厅 南,7500,75.93㎡,徐汇-田林-凯托大厦,121.42498,31.183122,4号线,0.451
整租·龙山新村 1室1厅 南,5590,34.50㎡,徐汇-万体馆-龙山新村,121.444891,31.184374,4号线,0.1883
整租·尚海湾豪庭一期 5室2厅 南,32000,264.58㎡,徐汇-徐汇滨江-尚海湾豪庭一期,121.460283,31.179931,12号线,0.5807
整租·武康路280弄(公房) 2室1厅 南,6860,50.47㎡,徐汇-衡山路-武康路280弄(公房),121.438556,31.207378,10号线,0.5571
整租·五原路249号 1室0厅 南,4250,13.00㎡,徐汇-衡山路-五原路249号,121.446789,31.213302,7号线,0.2254
整租·乐山二村 2室1厅 南,5560,47.88㎡,徐汇-徐家汇-乐山二村,121.430209,31.197215,11号线,0.6378
整租·永嘉路750号 3室1厅 南/北,48000,308.00㎡,徐汇-衡山路-永嘉路750号,121.446862,31.204064,1号线,0.0662
整租·福苑小区 1室1厅 南,5600,50.35㎡,徐汇-田林-福苑小区,121.425654,31.176266,15号线,0.7417
整租·长海坊 1室1厅 南,4100,44.84㎡,徐汇-康健-长海坊,121.419223,31.156497,1号线,1.053
整租·汇金广场 2室2厅 南,16000,130.63㎡,徐汇-徐家汇-汇金广场,121.440415,31.195237,11号线,0.3646
整租·汇成一村 2室1厅 南,5600,59.70㎡,徐汇-上海南站-汇成一村,121.43458,31.146486,15号线,0.5875
整租·百汇园一期 3室2厅 南,27500,178.57㎡,徐汇-徐汇滨江-百汇园一期,121.46046,31.1726,11号线,0.7024
整租·五原路252弄 1室1厅 南,7500,50.00㎡,徐汇-衡山路-五原路252弄,121.444362,31.212369,7号线,0.473
整租·汇金广场 2室2厅 南,17000,130.63㎡,徐汇-徐家汇-汇金广场,121.440415,31.195237,11号线,0.3646
整租·谨斜小区 1室0厅 南,5500,33.31㎡,徐汇-徐家汇-谨斜小区,121.448534,31.193321,4号线,0.6668
整租·谨斜小区 1室1厅 南,5600,34.71㎡,徐汇-徐家汇-谨斜小区,121.448534,31.193321,4号线,0.6668
整租·梅陇五村 2室1厅 南,4500,66.46㎡,徐汇-华东理工-梅陇五村,121.42073,31.135743,1号线,0.956
整租·漕溪一村 1室1厅 南,5000,32.00㎡,徐汇-万体馆-漕溪一村,121.436611,31.172787,3号线,0.4712
整租·金龙花苑玫瑰园 2室1厅 南/北,6800,50.00㎡,徐汇-龙华-金龙花苑玫瑰园,121.455877,31.168481,11号线,0.335
整租·泰东新村(徐汇) 3室2厅 东,9000,70.36㎡,徐汇-徐家汇-泰东新村(徐汇),121.441061,31.187681,4号线,0.3291
整租·宛南四村 2室1厅 南/北,6500,47.82㎡,徐汇-龙华-宛南四村,121.450444,31.18158,12号线,0.7031
整租·吴中公寓 1室1厅 南/西,5200,61.77㎡,徐汇-田林-吴中公寓,121.420411,31.187414,4号线,0.6511
整租·龙安小区 3室1厅 南,9300,57.27㎡,徐汇-龙华-龙安小区,121.455132,31.184864,12号线,0.1918
整租·申晖小区 1室1厅 南,5500,36.74㎡,徐汇-斜土路-申晖小区,121.468103,31.197906,12号线,0.6273
整租·橡胶小区 2室1厅 南,7500,67.61㎡,徐汇-徐家汇-橡胶小区,121.445572,31.196913,9号线,0.5232
整租·环线广场 3室1厅 南,9500,94.70㎡,徐汇-田林-环线广场,121.425895,31.180245,4号线,0.7281
整租·恒昌花园 3室2厅 东/南,15000,134.43㎡,徐汇-徐家汇-恒昌花园,121.449273,31.189024,4号线,0.5717
整租·漕溪二村 1室1厅 南,4500,37.90㎡,徐汇-万体馆-漕溪二村,121.439107,31.172001,3号线,0.5302
整租·汇成五村 2室1厅 南/北,5338,52.20㎡,徐汇-上海南站-汇成五村,121.430041,31.154579,1号线,0.0
整租·徐虹华庭 3室2厅 南,20000,148.04㎡,徐汇-徐家汇-徐虹华庭,121.426328,31.18981,4号线,0.3527
整租·番禺小区 1室1厅 南,5000,37.39㎡,徐汇-徐家汇-番禺小区,121.42825,31.198473,4号线,0.7164
整租·宛南六村 1室1厅 南,5500,28.00㎡,徐汇-龙华-宛南六村,121.445104,31.179525,11号线,0.3536
整租·徐汇公寓 3室2厅 南/北,12000,122.89㎡,徐汇-康健-徐汇公寓,121.432774,31.161938,12号线,0.711
整租·海上名邸 3室2厅 南/北,20000,140.48㎡,徐汇-康健-海上名邸,121.423879,31.155435,1号线,0.5951
整租·兴国路271弄 1室0厅 西北/北,4800,18.45㎡,徐汇-衡山路-兴国路271弄,121.437409,31.205242,11号线,0.3937
整租·田林十四村 1室1厅 南,6400,36.56㎡,徐汇-田林-田林十四村,121.423526,31.175538,15号线,0.5272
整租·华泾绿苑 3室2厅 南,10000,127.00㎡,徐汇-华泾-华泾绿苑,121.457976,31.113578,市域机场线,1.3685
整租·天龙苑 2室2厅 南,10500,101.37㎡,徐汇-植物园-天龙苑,121.447612,31.156471,3号线,0.451
整租·龙山新村 1室1厅 南,5000,32.32㎡,徐汇-万体馆-龙山新村,121.444891,31.184374,4号线,0.1883
整租·乐山二村 2室1厅 南/北,5900,45.41㎡,徐汇-徐家汇-乐山二村,121.430209,31.197215,11号线,0.6378
整租·宛南三村 1室1厅 南,7500,48.00㎡,徐汇-龙华-宛南三村,121.451043,31.182819,12号线,0.5993
整租·月季园(徐汇) 3室0厅 南,7500,85.80㎡,徐汇-康健-月季园(徐汇),121.410929,31.149031,1号线,0.8139
整租·建西小区 2室1厅 南,9800,57.48㎡,徐汇-建国西路-建西小区,121.455857,31.204832,9号线,0.5129
整租·盛大花园 2室2厅 错层 南/北,14500,133.49㎡,徐汇-龙华-盛大花园,121.454377,31.177717,12号线,0.5754
整租·尚海湾豪庭三期 2室2厅 南,25000,119.37㎡,徐汇-徐汇滨江-尚海湾豪庭三期,121.460283,31.179931,12号线,0.5807
整租·科汇公寓 1室1厅 南,6500,48.18㎡,徐汇-徐家汇-科汇公寓,121.437951,31.193218,11号线,0.2851
整租·茶陵小区 1室1厅 南,4500,38.36㎡,徐汇-斜土路-茶陵小区,121.468195,31.195896,12号线,0.511
整租·五原路65弄 1室2厅 南,7800,40.10㎡,徐汇-衡山路-五原路65弄,121.448217,31.212808,7号线,0.1185
整租·梅陇路3号 2室0厅 南,3800,45.77㎡,徐汇-华东理工-梅陇路3号,121.427327,31.141312,15号线,0.3629
整租·宛南二村 1室1厅 南,5800,31.62㎡,徐汇-龙华-宛南二村,121.450009,31.184087,4号线,0.6401
整租·田林十二村 2室1厅 南,6000,48.58㎡,徐汇-田林-田林十二村,121.428878,31.171776,12号线,0.5568
整租·金牛苑 1室1厅 南,4500,43.28㎡,徐汇-上海南站-金牛苑,121.43475,31.152094,1号线,0.5267
整租·罗秀三村 2室1厅 南,4800,63.29㎡,徐汇-植物园-罗秀三村,121.445954,31.134664,15号线,1.0274
整租·华沁家园 2室1厅 南,7300,89.47㎡,徐汇-植物园-华沁家园,121.450626,31.136849,15号线,1.5303
整租·斜土路1358弄 1室1厅 南,5700,43.61㎡,徐汇-斜土路-斜土路1358弄,121.46262,31.197792,12号线,0.4188
整租·徐汇锦梅苑 3室1厅 南/北,6400,94.15㎡,徐汇-华东理工-徐汇锦梅苑,121.42401,31.132862,15号线,1.1342
整租·徐汇苑 2室2厅 南,13000,100.66㎡,徐汇-龙华-徐汇苑,121.44403,31.177843,11号线,0.2861
整租·尚汇豪庭二期 3室2厅 南,23000,131.39㎡,徐汇-田林-尚汇豪庭二期,121.42752,31.180832,4号线,0.6531
整租·东湾小区 2室1厅 南,4200,57.91㎡,徐汇-华泾-东湾小区,121.458546,31.122524,市域机场线,1.9565
整租·望族城 3室3厅 东南/南,13800,208.86㎡,徐汇-万体馆-望族城,121.435645,31.169896,12号线,0.2941
整租·上方花园 1室0厅 南,3150,11.60㎡,徐汇-衡山路-上方花园,121.451239,31.212592,7号线,0.225
整租·岳阳路77弄 1室1厅 南,7000,40.25㎡,徐汇-建国西路-岳阳路77弄,121.453916,31.207645,1号线,0.7931
整租·宛龙小区 1室1厅 南,6000,48.15㎡,徐汇-龙华-宛龙小区,121.448921,31.182033,4号线,0.6488
整租·百汇园三期 4室2厅 南/北,65000,245.70㎡,徐汇-徐汇滨江-百汇园三期,121.459409,31.176378,12号线,0.7395
整租·嘉汇国际广场 1室1厅 南,6584,63.00㎡,徐汇-徐家汇-嘉汇国际广场,121.442908,31.188412,4号线,0.3168
整租·枫林新村 1室1厅 南,6000,42.21㎡,徐汇-斜土路-枫林新村,121.459591,31.191465,4号线,0.453
整租·石龙小区 4室2厅 东南,27850,173.58㎡,徐汇-植物园-石龙小区,121.441297,31.155384,3号线,0.3376
整租·南天大楼 2室1厅 东/西,10500,92.60㎡,徐汇-徐家汇-南天大楼,121.442592,31.190613,4号线,0.5623
整租·虹桥路400弄 1室1厅 南/北,7800,63.79㎡,徐汇-徐家汇-虹桥路400弄,121.431146,31.192428,11号线,0.6225
整租·莱诗邸 3室2厅 南,25700,149.38㎡,徐汇-徐家汇-莱诗邸,121.440094,31.190159,4号线,0.6017
整租·襄阳南路429弄 1室1厅 西,8200,27.00㎡,徐汇-建国西路-襄阳南路429弄,121.45817,31.206354,9号线,0.4602
整租·华沁家园 1室1厅 南,5500,56.19㎡,徐汇-植物园-华沁家园,121.450626,31.136849,15号线,1.5303
整租·凌云新村 3室1厅 南,4900,82.21㎡,徐汇-华东理工-凌云新村,121.417106,31.140692,1号线,0.3322
整租·爱博大厦 2室2厅 东南/南,14800,107.85㎡,徐汇-徐家汇-爱博大厦,121.446193,31.188543,4号线,0.413
整租·淮海中路1270弄 1室1厅 南/西南,11600,46.56㎡,徐汇-衡山路-淮海中路1270弄,121.451729,31.214266,7号线,0.2599
整租·永新城 3室2厅 南,24000,171.00㎡,徐汇-徐家汇-永新城,121.437951,31.193218,11号线,0.2851
整租·东安四村 1室1厅 南,5000,39.70㎡,徐汇-徐家汇-东安四村,121.450711,31.186675,4号线,0.6084
整租·巴黎时韵 1室1厅 南,6500,43.60㎡,徐汇-建国西路-巴黎时韵,121.457919,31.205645,9号线,0.4105
整租·莱诗邸 1室1厅 南,13000,80.18㎡,徐汇-徐家汇-莱诗邸,121.440094,31.190159,4号线,0.6017
整租·建汇大厦 1室1厅 南,20000,200.56㎡,徐汇-徐家汇-建汇大厦,121.439143,31.195318,11号线,0.243
整租·中煌大厦 1室1厅 东南/南,5000,43.00㎡,徐汇-龙华-中煌大厦,121.445898,31.180772,11号线,0.464
整租·华沁家园 1室1厅 南,5100,55.57㎡,徐汇-植物园-华沁家园,121.450626,31.136849,15号线,1.5303
整租·中海瀛台 2室2厅 东南/南/西南,11000,88.51㎡,徐汇-华泾-中海瀛台,121.453503,31.140154,15号线,1.9383
整租·东安二村 1室1厅 南,4800,34.84㎡,徐汇-徐家汇-东安二村,121.45415,31.186768,12号线,0.3838
整租·徐汇御苑 3室2厅 南,17800,155.91㎡,徐汇-徐家汇-徐汇御苑,121.454748,31.192556,4号线,0.1931
整租·东方曼哈顿 1室2厅 西,11000,64.84㎡,徐汇-徐家汇-东方曼哈顿,121.433831,31.191094,11号线,0.5567
整租·吴东小区 2室1厅 南,6390,50.77㎡,徐汇-徐家汇-吴东小区,121.422474,31.191462,4号线,0.6904
整租·华理苑 2室2厅 南,7000,91.02㎡,徐汇-华东理工-华理苑,121.420807,31.143834,1号线,0.6635
整租·宏润花园 3室2厅 南/北,15500,147.05㎡,徐汇-万体馆-宏润花园,121.436307,31.188334,1号线,0.6212
整租·中恒苑 2室1厅 南,5000,59.37㎡,徐汇-植物园-中恒苑,121.447925,31.139603,15号线,1.4602
整租·紫阳花苑 2室2厅 南,5500,59.00㎡,徐汇-华泾-紫阳花苑,121.452787,31.113285,市域机场线,0.8953
整租·寿昌坊 1室1厅 南,4000,59.45㎡,徐汇-康健-寿昌坊,121.420029,31.150993,1号线,1.034
整租·梅苑 2室1厅 南,5000,58.12㎡,徐汇-华东理工-梅苑,121.42351,31.137637,15号线,0.9009
整租·乐山大楼 2室1厅 西,6600,53.18㎡,徐汇-徐家汇-乐山大楼,121.433254,31.196002,11号线,0.3237
整租·阳光绿园 3室2厅 南,12800,129.89㎡,徐汇-华东理工-阳光绿园,121.427662,31.136961,15号线,0.8187
整租·元福大厦 2室1厅 南/西,11800,107.99㎡,徐汇-徐家汇-元福大厦,121.432223,31.19183,11号线,0.584
整租·康佳苑 2室1厅 南,6500,76.20㎡,徐汇-上海南站-康佳苑,121.432005,31.148515,15号线,0.5527
整租·联业大厦 4室2厅 南/北,19300,155.40㎡,徐汇-衡山路-联业大厦,121.450615,31.200069,9号线,0.08
整租·寿祥坊 2室1厅 南,5900,77.70㎡,徐汇-康健-寿祥坊,121.419231,31.151108,1号线,1.1001
整租·东航小区 1室1厅 南,5000,27.45㎡,徐汇-龙华-东航小区,121.452314,31.18138,12号线,0.5617
整租·巴黎时韵 1室1厅 西北,7400,56.92㎡,徐汇-建国西路-巴黎时韵,121.457919,31.205645,9号线,0.4105
整租·田林十二村 1室0厅 南,3900,30.03㎡,徐汇-田林-田林十二村,121.428878,31.171776,12号线,0.5568
整租·长桥八村 1室1厅 南,5560,46.25㎡,徐汇-长桥-长桥八村,121.439768,31.131052,15号线,0.3819
整租·乌鲁木齐中路255弄 1室1厅 错层 南/北,7200,35.30㎡,徐汇-衡山路-乌鲁木齐中路255弄,121.446422,31.212454,7号线,0.2849
整租·橡胶小区 1室1厅 东,6660,50.03㎡,徐汇-徐家汇-橡胶小区,121.445572,31.196913,9号线,0.5232
整租·天钥新村 1室1厅 南,4300,41.44㎡,徐汇-万体馆-天钥新村,121.44698,31.184669,4号线,0.3449
整租·仪表新村 2室1厅 南,5690,50.05㎡,徐汇-田林-仪表新村,121.426481,31.170336,12号线,0.6723
整租·金龙花苑牡丹园 2室1厅 南,6400,54.30㎡,徐汇-龙华-金龙花苑牡丹园,121.455474,31.167475,11号线,0.3102
整租·梅陇六村 1室1厅 南,4000,40.88㎡,徐汇-华东理工-梅陇六村,121.419992,31.133501,1号线,1.1174
整租·长桥一村 1室0厅 南,4200,41.96㎡,徐汇-长桥-长桥一村,121.437716,31.136658,15号线,0.5946
整租·斜土路1218号 1室1厅 南,4400,31.62㎡,徐汇-斜土路-斜土路1218号,121.46495,31.199256,9号线,0.5655
整租·华建一街坊 1室1厅 南,3600,34.70㎡,徐汇-华泾-华建一街坊,121.439596,31.120553,15号线,0.4557
整租·泰东新村(徐汇) 1室1厅 南,6700,43.57㎡,徐汇-徐家汇-泰东新村(徐汇),121.441061,31.187681,4号线,0.3291
整租·汇金广场 1室1厅 南,9011,69.47㎡,徐汇-徐家汇-汇金广场,121.440415,31.195237,11号线,0.3646
整租·樱花园(徐汇) 1室1厅 南,4500,48.13㎡,徐汇-康健-樱花园(徐汇),121.421101,31.155372,1号线,0.8568
整租·花苑村紫竹园 1室1厅 南,4700,42.29㎡,徐汇-康健-花苑村紫竹园,121.413916,31.153028,1号线,1.1986
整租·玉兰花苑 1室1厅 南,7000,64.33㎡,徐汇-徐家汇-玉兰花苑,121.435064,31.18611,1号线,0.4291
整租·天平小区 1室1厅 南,6300,36.72㎡,徐汇-徐家汇-天平小区,121.439194,31.19834,11号线,0.3989
整租·华东花苑 2室1厅 南,8800,82.03㎡,徐汇-上海南站-华东花苑,121.43489,31.148816,15号线,0.7562
