,标题,价格(元/月),片区,lng,lat,nearest_station_id,distance_km,station_name,区域,面积(㎡),rent_per_unit
176,整租·名都古北 2室2厅 南,14000,闵行-金虹桥-名都古北,121.397262,31.199617,15号线,0.1348,红宝石路,闵行,120.86,115.836505047162
177,整租·马桥景城馨苑 3室1厅 东南/北,4400,闵行-老闵行-马桥景城馨苑,121.359718,31.038531,5号线,4.309,闵行开发区,闵行,96.1,45.78563995837669
178,整租·景舒苑九村 2室1厅 南/北,4800,闵行-浦江-景舒苑九村,121.492972,31.071769,8号线,1.6932,联航路,闵行,90.0,53.333333333333336
179,整租·泽雅苑 2室2厅 南,5000,闵行-华漕-泽雅苑,121.282164,31.234498,13号线,3.6107,金运路,闵行,88.0,56.81818181818182
180,整租·大上海国际花园酒店公寓 1室1厅 南,4500,闵行-静安新城-大上海国际花园酒店公寓,121.380683,31.163337,9号线,0.5274,合川路,闵行,42.49,105.90727229936455
181,整租·公园1872北区 3室2厅 南,6800,闵行-吴泾-公园1872北区,121.436307,31.188334,1号线,0.6212,上海体育馆,闵行,106.02,64.13884172797586
182,整租·上海春城 2室1厅 南/北,5900,闵行-春申-上海春城,121.408793,31.104197,15号线,1.0722,景西路,闵行,99.0,59.5959595959596
183,整租·中梅苑四期 2室2厅 南,6500,闵行-梅陇-中梅苑四期,121.412822,31.14129,1号线,0.1599,锦江乐园,闵行,94.78,68.57986917071112
184,整租·新汇绿苑一村 2室1厅 南/北,3400,闵行-闵浦-新汇绿苑一村,121.436307,31.188334,1号线,0.6212,上海体育馆,闵行,94.0,36.170212765957444
185,整租·金虹大厦 3室2厅 南,10200,闵行-金虹桥-金虹大厦,121.399222,31.182776,15号线,1.1894,姚虹路,闵行,142.21,71.72491385978482
186,整租·万科城市花园 1室1厅 南,4100,闵行-七宝-万科城市花园,121.342838,31.158824,9号线,0.7239,七宝,闵行,42.0,97.61904761904762
187,整租·爱博六村 2室2厅 南,5750,闵行-华漕-爱博六村,121.308952,31.221139,13号线,2.4114,金运路,闵行,85.0,67.6470588235294
188,整租·振宏小区 3室1厅 南,10000,闵行-金虹桥-振宏小区,121.405445,31.189639,15号线,0.2308,姚虹路,闵行,99.12,100.88781275221953
189,整租·闵浦新苑四村 3室2厅 南/北,4400,闵行-闵浦-闵浦新苑四村,121.532988,31.0622,浦江线,0.8611,三鲁公路,闵行,122.0,36.0655737704918
190,整租·爱博四村 2室2厅 南,6500,闵行-华漕-爱博四村,121.30695,31.213451,17号线,2.4387,虹桥火车站,闵行,84.0,77.38095238095238
191,整租·绿梅二村 2室1厅 南/北,4500,闵行-莘庄北广场-绿梅二村,121.436307,31.188334,1号线,0.6212,上海体育馆,闵行,56.71,79.35108446482101
192,整租·航华二村信利苑 1室1厅 南,4500,闵行-航华-航华二村信利苑,121.348978,31.170983,10号线,0.8649,航中路,闵行,61.34,73.36159113139875
193,整租·爱博六村 1室1厅 南,4500,闵行-华漕-爱博六村,121.308952,31.221139,13号线,2.4114,金运路,闵行,60.0,75.0
194,整租·绿地峰尚汇 2室1厅 南,3800,闵行-浦江-绿地峰尚汇,121.511716,31.080359,8号线,0.524,江月路,闵行,59.95,63.38615512927439
195,整租·虹梅新苑北区 2室2厅 南,5500,闵行-吴泾-虹梅新苑北区,121.45648,31.043252,15号线,1.3465,永德路,闵行,98.0,56.12244897959184
196,整租·九星苑 2室1厅 南,6200,闵行-古美-九星苑,121.400437,31.156156,12号线,0.5554,虹梅路,闵行,74.23,83.52418159773676
197,整租·建发璟院北苑 3室2厅 南,15000,闵行-古美-建发璟院北苑,121.400437,31.156156,12号线,0.5554,虹梅路,闵行,107.0,140.18691588785046
198,整租·水清一村 2室1厅 南,5000,闵行-莘庄北广场-水清一村,121.436307,31.188334,1号线,0.6212,上海体育馆,闵行,59.19,84.47372867038351
199,整租·水清三村 1室1厅 东南,4500,闵行-莘庄北广场-水清三村,121.436307,31.188334,1号线,0.6212,上海体育馆,闵行,55.49,81.09569291764282
200,整租·骏苑(三期) 1室1厅 南,3360,闵行-颛桥-骏苑(三期),121.436307,31.188334,1号线,0.6212,上海体育馆,闵行,62.0,54.193548387096776
201,整租·好世凤凰城 3室2厅 南/北,8600,闵行-莘庄南广场-好世凤凰城,121.391506,31.093366,5号线,0.4612,银都路,闵行,134.63,63.87877887543638
202,整租·上海康城 3室2厅 南,6000,闵行-莘闵别墅-上海康城,121.436307,31.188334,1号线,0.6212,上海体育馆,闵行,163.53,36.6905155017428
203,整租·上中西路767弄 1室1厅 南,5000,闵行-梅陇-上中西路767弄,121.412822,31.14129,1号线,0.1599,锦江乐园,闵行,48.75,102.56410256410257
204,整租·丽都城假日景苑 3室1厅 南,5000,闵行-老闵行-丽都城假日景苑,121.406407,31.014407,5号线,0.5002,金平路,闵行,92.02,54.33601391001957
205,整租·瑞和新苑浦涛路400弄 3室2厅 南/北,4500,闵行-闵浦-瑞和新苑浦涛路400弄,121.53785,31.049779,浦江线,0.7463,闵瑞路,闵行,93.0,48.38709677419355
206,整租·静安新城五区 1室1厅 南,5300,闵行-静安新城-静安新城五区,121.383236,31.163899,9号线,0.3276,合川路,闵行,53.0,100.0
207,整租·好第坊(东川路865弄) 2室2厅 南/北,4500,闵行-老闵行-好第坊(东川路865弄),121.436307,31.188334,1号线,0.6212,上海体育馆,闵行,90.49,49.72925185103327
208,整租·美邻苑 1室1厅 南,3800,闵行-华漕-美邻苑,121.436307,31.188334,1号线,0.6212,上海体育馆,闵行,60.0,63.333333333333336
209,整租·美邻苑 2室2厅 南,4900,闵行-华漕-美邻苑,121.436307,31.188334,1号线,0.6212,上海体育馆,闵行,94.8,51.68776371308017
210,整租·浦锦路1306号 2室2厅 南,3800,闵行-浦江-浦锦路1306号,121.492953,31.093562,8号线,1.3142,浦江镇,闵行,46.54,81.65019338203696
211,整租·一品漫城(五期) 3室2厅 南/北,7200,闵行-浦江-一品漫城(五期),121.436307,31.188334,1号线,0.6212,上海体育馆,闵行,95.37,75.49543881723812
212,整租·浦江宝邸北区 3室1厅 南,3500,闵行-闵浦-浦江宝邸北区,121.541953,31.064416,浦江线,1.6673,三鲁公路,闵行,79.0,44.30379746835443
213,整租·虹桥1号 2室2厅 南/北,6100,闵行-华漕-虹桥1号,121.079379,31.136856,17号线,0.3736,淀山湖大道,闵行,91.0,67.03296703296704
214,整租·城开珑庭 2室2厅 南,9000,闵行-梅陇-城开珑庭,121.412822,31.14129,1号线,0.1599,锦江乐园,闵行,117.38,76.67405009371274
215,整租·江锦南苑江锦北苑 1室1厅 南/北,5500,闵行-浦江-江锦南苑江锦北苑,121.486422,31.118745,市域机场线,0.8096,三林南,闵行,63.0,87.3015873015873
216,整租·虹梅路2986弄 2室1厅 南,6500,闵行-金虹桥-虹梅路2986弄,121.393429,31.181754,9号线,1.2993,漕河泾开发区,闵行,53.58,121.31392310563643
217,整租·红旗小区 2室1厅 南,2700,闵行-老闵行-红旗小区,121.397894,31.010301,5号线,0.4027,华宁路,闵行,47.6,56.72268907563025
218,整租·丽华公寓(公寓) 2室1厅 南,4000,闵行-莘庄北广场-丽华公寓(公寓),121.436307,31.188334,1号线,0.6212,上海体育馆,闵行,73.25,54.60750853242321
219,整租·合生城邦四街坊 2室2厅 南/北,4650,闵行-老闵行-合生城邦四街坊,121.405807,31.018868,5号线,0.9392,金平路,闵行,99.24,46.85610640870617
220,整租·常兴家园 2室1厅 东南,5590,闵行-春申-常兴家园,121.399097,31.112185,1号线,1.1266,外环路,闵行,64.82,86.23881518049986
221,整租·浦秀馨苑 3室1厅 南,5500,闵行-浦江-浦秀馨苑,121.489837,31.086424,8号线,1.8065,江月路,闵行,91.0,60.43956043956044
222,整租·通海二小区 3室2厅 南,4600,闵行-吴泾-通海二小区,121.436307,31.188334,1号线,0.6212,上海体育馆,闵行,112.1,41.034790365744875
223,整租·金美苑 2室1厅 南,5250,闵行-七宝-金美苑,121.343655,31.151478,9号线,0.6782,七宝,闵行,74.42,70.54555227089492
224,整租·常兴家园 3室1厅 南,4100,闵行-春申-常兴家园,121.399097,31.112185,1号线,1.1266,外环路,闵行,75.0,54.666666666666664
