标题,价格(元/月),面积,片区,lng,lat,nearest_station_id,distance_km
整租·金辉海上铭著 2室2厅 南,9500,95.00㎡,闵行-莘庄南广场-金辉海上铭著,121.393997,31.112445,5号线,0.835
整租·建发璟院北苑 3室2厅 南,13500,103.00㎡,闵行-古美-建发璟院北苑,121.400437,31.156156,12号线,0.5554
整租·莘松四村 1室1厅 南,3150,46.00㎡,闵行-莘庄北广场-莘松四村,121.436307,31.188334,1号线,0.6212
整租·梦景苑 2室2厅 南,8000,98.12㎡,闵行-梅陇-梦景苑,121.412822,31.14129,1号线,0.1599
整租·罗阳一村 1室1厅 南/北,5000,49.01㎡,闵行-梅陇-罗阳一村,121.412822,31.14129,1号线,0.1599
整租·平南一二村 2室1厅 南/西南,5775,68.25㎡,闵行-古美-平南一二村,121.400437,31.156156,12号线,0.5554
整租·公园1872北区 3室2厅 南/北,6500,104.00㎡,闵行-吴泾-公园1872北区,121.436307,31.188334,1号线,0.6212
整租·金塔新村 3室1厅 南,3600,83.00㎡,闵行-颛桥-金塔新村,121.407904,31.037791,5号线,0.8371
整租·天安豪园 2室1厅 南,8300,80.28㎡,闵行-金汇-天安豪园,121.436307,31.188334,1号线,0.6212
整租·金汇鸿锦苑 3室2厅 南,10500,139.00㎡,闵行-金汇-金汇鸿锦苑,121.436307,31.188334,1号线,0.6212
整租·金丰小区北区（121弄） 1室2厅 南,4500,60.14㎡,闵行-华漕-金丰小区北区（121弄）,121.28316,31.206312,17号线,1.8758
整租·水月锦绣苑南区 1室1厅 南,3400,62.71㎡,闵行-闵浦-水月锦绣苑南区,121.528867,31.04915,浦江线,0.1919
整租·颛桥紫薇花园东区 3室2厅 南/北,12000,110.00㎡,闵行-颛桥-颛桥紫薇花园东区,121.397933,31.069067,5号线,0.4391
整租·万科城市花园 3室1厅 南,8400,127.00㎡,闵行-七宝-万科城市花园,121.342838,31.158824,9号线,0.7239
整租·东方花园三期 1室1厅 南,5985,58.51㎡,闵行-七宝-东方花园三期,121.365234,31.142778,12号线,1.2634
整租·公园1872北区 3室1厅 南,5000,95.00㎡,闵行-吴泾-公园1872北区,121.436307,31.188334,1号线,0.6212
整租·金鹰华庭四期 3室2厅 南,18000,146.00㎡,闵行-金虹桥-金鹰华庭四期,121.380968,31.18353,10号线,1.2083
整租·鹤坡路84弄 2室1厅 南/北,2600,62.05㎡,闵行-闵浦-鹤坡路84弄,121.436307,31.188334,1号线,0.6212
整租·日月华城 3室2厅 南,5800,100.07㎡,闵行-颛桥-日月华城,121.38956,31.066022,5号线,1.1796
整租·碧林湾新苑(华友路) 2室2厅 南,8600,93.00㎡,闵行-七宝-碧林湾新苑(华友路),121.352012,31.136023,12号线,1.1089
整租·万科城市花园 3室2厅 南,12000,142.31㎡,闵行-七宝-万科城市花园,121.342838,31.158824,9号线,0.7239
整租·万乐城(商业类) 1室0厅 北,2000,21.79㎡,闵行-吴泾-万乐城(商业类),121.445443,31.038405,15号线,0.2291
整租·爱博三村 1室1厅 南/北,5000,58.00㎡,闵行-华漕-爱博三村,121.310695,31.209729,17号线,1.9108
整租·君莲新城中城苑 1室2厅 南,4200,65.00㎡,闵行-颛桥-君莲新城中城苑,121.420271,31.082384,15号线,0.1685
整租·鑫峰苑 2室1厅 南,4900,87.00㎡,闵行-颛桥-鑫峰苑,121.396969,31.055956,5号线,1.3119
整租·碧桂园柏悦前湾 3室2厅 南,7500,101.30㎡,闵行-华漕-碧桂园柏悦前湾,121.294488,31.216381,17号线,2.7422
整租·梅陇二村 1室1厅 南,4100,46.40㎡,闵行-梅陇-梅陇二村,121.412822,31.14129,1号线,0.1599
整租·万科早城(二期) 1室1厅 北,2700,62.00㎡,闵行-浦江-万科早城(二期),121.485866,31.104431,8号线,2.0077
整租·爱博一村 2室1厅 南/北,4800,60.00㎡,闵行-华漕-爱博一村,121.31115,31.207346,17号线,1.6536
